#
# Slashdot0902.txt clustering coefficient. G(82168, 948464). Average clustering: 0.0603  OpenTriads: 73175813 (0.9918)  ClosedTriads: 602592 (0.0082) (Wed Apr 29 17:22:37 2020)
#
# Node degree	Average clustering coefficient
1	0
2	0.140888
3	0.0113174
4	0.00767539
5	0.070068
6	0.194995
7	0.082973
8	0.134419
9	0.0822328
10	0.109475
11	0.077329
12	0.0909545
13	0.0727877
14	0.0798029
15	0.0638327
16	0.0643335
17	0.0619931
18	0.0580303
19	0.0539134
20	0.0536576
21	0.0498591
22	0.0550365
23	0.0541552
24	0.0567494
25	0.0428509
26	0.0450127
27	0.051799
28	0.0415933
29	0.0589525
30	0.0479004
31	0.038551
32	0.0477082
33	0.0508907
34	0.0379625
35	0.0451627
36	0.0398411
37	0.048561
38	0.0383432
39	0.0445573
40	0.0419791
41	0.0374727
42	0.0428769
43	0.0320029
44	0.030892
45	0.0375069
46	0.0426026
47	0.045489
48	0.0445797
49	0.0381301
50	0.0337166
51	0.0465312
52	0.044922
53	0.0416296
54	0.0351927
55	0.0340279
56	0.0375622
57	0.0335911
58	0.0395996
59	0.0291818
60	0.0342685
61	0.0359391
62	0.0348007
63	0.0373752
64	0.035916
65	0.0373779
66	0.0373577
67	0.0367745
68	0.0425169
69	0.0357456
70	0.0326824
71	0.0407469
72	0.0356043
73	0.0518257
74	0.0447216
75	0.0386385
76	0.0323796
77	0.0294806
78	0.0330271
79	0.0440266
80	0.0278573
81	0.0324699
82	0.0422609
83	0.0277225
84	0.0269936
85	0.0460337
86	0.0324896
87	0.0350284
88	0.0550547
89	0.0240567
90	0.0338067
91	0.0271781
92	0.0317961
93	0.0363257
94	0.0304525
95	0.0300861
96	0.0509484
97	0.0386246
98	0.0468248
99	0.0296114
100	0.0305709
101	0.0412817
102	0.0241048
103	0.0397016
104	0.0311948
105	0.0341065
106	0.0316104
107	0.0493004
108	0.0343673
109	0.0250947
110	0.0293538
111	0.0244362
112	0.0298598
113	0.0202611
114	0.0296824
115	0.0272594
116	0.0334681
117	0.0303106
118	0.026269
119	0.0360192
120	0.0352128
121	0.0285985
122	0.060009
123	0.0226502
124	0.0439286
125	0.0336193
126	0.0369523
127	0.0263801
128	0.0401354
129	0.0429614
130	0.0541194
131	0.0254554
132	0.0321205
133	0.0405146
134	0.0203055
135	0.0240393
136	0.0313977
137	0.0303244
138	0.0275738
139	0.022179
140	0.0278377
141	0.0230808
142	0.0182125
143	0.0518835
144	0.0325095
145	0.0445798
146	0.033705
147	0.0199389
148	0.0294734
149	0.0390352
150	0.030361
151	0.0341776
152	0.054655
153	0.0292886
154	0.0354853
155	0.0413508
156	0.0615453
157	0.0558547
158	0.0547827
159	0.0626186
160	0.0337398
161	0.0158485
162	0.0227534
163	0.0289905
164	0.0681877
165	0.0308239
166	0.0574524
167	0.0362101
168	0.0295039
169	0.0249941
170	0.0592512
171	0.030842
172	0.0684645
173	0.0392668
174	0.0199814
175	0.0145192
176	0.0301824
177	0.0483923
178	0.0316765
179	0.0273492
180	0.0272167
181	0.0203395
182	0.0304272
183	0.0222879
184	0.0390091
185	0.0530136
186	0.0582666
187	0.0372046
188	0.0217276
189	0.0208832
190	0.0221346
191	0.102556
192	0.0220054
193	0.022796
194	0.0372589
195	0.0197852
196	0.0509098
197	0.0542103
198	0.0195127
199	0.0392119
200	0.0722871
201	0.0234324
202	0.0328743
203	0.0331908
204	0.0111218
205	0.0615866
206	0.0172065
207	0.0211875
208	0.0426113
209	0.0169666
210	0.0479925
211	0.0198696
212	0.0173235
213	0.0176675
214	0.0337191
215	0.0210636
216	0.0351521
217	0.0151061
218	0.0194393
219	0.0275107
220	0.0645204
221	0.0438657
222	0.0454889
223	0.0571856
224	0.0186849
225	0.022184
226	0.0863874
227	0.0202248
228	0.0143229
229	0.0450937
230	0.0383935
231	0.0171286
232	0.0197988
233	0.0226933
234	0.0190984
235	0.0248103
236	0.0189869
237	0.0450589
238	0.0205155
239	0.013415
240	0.0676375
241	0.0209427
242	0.0146429
243	0.0645187
244	0.039415
245	0.0940106
246	0.0146086
247	0.0143993
248	0.0168151
249	0.016833
250	0.015105
251	0.0188062
252	0.083875
253	0.0175203
254	0.014282
255	0.102398
256	0.020335
257	0.0344661
258	0.0122258
259	0.0127813
260	0.0194176
261	0.0377959
262	0.0319939
263	0.0166825
264	0.0681573
265	0.0372832
266	0.031673
267	0.103578
268	0.0440663
269	0.041258
270	0.0740807
271	0.015482
272	0.047925
273	0.0327286
274	0.0171578
275	0.0204005
276	0.0386067
277	0.0188039
278	0.0187446
279	0.0293631
280	0.0209384
281	0.0667491
282	0.0143212
283	0.0292326
284	0.125537
285	0.037445
286	0.00768397
287	0.0342096
288	0.0106714
289	0.0162238
290	0.0462133
291	0.0471842
292	0.0841891
293	0.0562927
294	0.0161019
295	0.0721905
296	0.0414593
297	0.0793512
298	0.0469887
299	0.0221785
300	0.0204697
301	0.0135956
302	0.00802026
303	0.0197085
304	0.0711335
305	0.0152323
306	0.0156588
307	0.0377156
308	0.0545901
309	0.0134834
310	0.0230418
311	0.072799
312	0.025622
313	0.026588
314	0.0438679
315	0.0144483
316	0.0104137
317	0.0471878
318	0.0178166
319	0.0292435
320	0.0199534
321	0.0265201
322	0.0126113
323	0.0226918
324	0.0273565
325	0.0385561
326	0.0199151
328	0.021831
329	0.0104693
330	0.0213667
331	0.0412398
332	0.04862
333	0.0621229
334	0.043633
335	0.0735828
336	0.0164483
337	0.018365
338	0.0580792
339	0.0135815
340	0.0171567
341	0.0601958
342	0.0154917
343	0.0122
344	0.0895664
345	0.0246344
346	0.0122994
347	0.0135223
348	0.0810284
349	0.0842587
350	0.0137818
351	0.0144536
352	0.0710535
353	0.109045
354	0.0137479
355	0.00777196
356	0.015264
357	0.01718
358	0.0117989
359	0.0147127
360	0.0141681
361	0.0462702
362	0.0158035
363	0.0642959
364	0.0141143
365	0.0195178
366	0.0152444
367	0.0130431
368	0.0144846
370	0.0142314
371	0.0277644
372	0.0155853
373	0.0279541
374	0.0148644
375	0.0145757
376	0.0100881
377	0.0916061
378	0.072017
379	0.0165562
380	0.0525223
381	0.0831178
382	0.0644306
383	0.0126584
384	0.044772
385	0.0104831
386	0.0114402
387	0.0156777
388	0.0202475
389	0.0421765
390	0.018168
391	0.0780572
392	0.0128962
393	0.0190298
394	0.0278417
395	0.0360165
396	0.0158926
397	0.0123408
398	0.0853019
399	0.0862869
400	0.0509802
401	0.0402381
402	0.0494163
403	0.00942393
404	0.0662655
405	0.0232217
406	0.0219689
407	0.018542
408	0.0344832
409	0.0145548
410	0.0655089
411	0.0245326
412	0.0494792
413	0.100259
414	0.0631644
415	0.015784
416	0.0627132
417	0.00990274
418	0.0120332
419	0.0447969
420	0.0177851
421	0.0287071
422	0.0219112
423	0.0169752
424	0.0181778
425	0.0280343
426	0.152387
427	0.0147202
428	0.0191322
429	0.0181597
430	0.0447402
431	0.0251351
432	0.0767711
433	0.0313781
434	0.0256441
435	0.0116602
436	0.00684848
437	0.118165
439	0.015475
440	0.0162684
441	0.0180997
442	0.0136293
443	0.131299
444	0.0690701
445	0.0220235
446	0.0156693
447	0.0116118
448	0.0118904
449	0.0136078
450	0.0758031
451	0.0177128
452	0.0153804
453	0.0795603
454	0.130878
455	0.023818
456	0.0189701
457	0.067238
458	0.0208303
459	0.0348203
461	0.00763728
462	0.0123733
463	0.130359
466	0.0537133
467	0.0134142
468	0.0575046
469	0.0112233
471	0.0176164
473	0.0134553
474	0.014933
475	0.0692342
476	0.0184036
477	0.00892116
479	0.129754
483	0.010045
484	0.0201359
486	0.0638556
487	0.00845511
488	0.0384104
489	0.113556
490	0.01245
491	0.054858
492	0.0120287
493	0.0137052
495	0.0746054
496	0.1827
499	0.0356338
500	0.0252455
501	0.0598569
502	0.0206247
503	0.0594971
504	0.0119658
506	0.00931329
510	0.0109061
511	0.0913615
512	0.0215909
513	0.0179855
514	0.130827
515	0.0123066
517	0.116013
519	0.0173883
522	0.0444753
523	0.0529619
524	0.020491
527	0.0274259
528	0.0172381
530	0.010586
533	0.0160939
534	0.0356922
536	0.017494
537	0.0100398
539	0.0118291
540	0.033063
541	0.0140347
543	0.0127729
544	0.0399747
545	0.0643538
546	0.0209775
548	0.0150826
549	0.0187522
551	0.0211496
552	0.0267936
553	0.0101837
554	0.0707832
556	0.00820715
559	0.0485591
561	0.0235995
562	0.00629014
563	0.0113844
564	0.0329634
565	0.0960822
566	0.0163973
567	0.011962
570	0.22279
571	0.00754795
574	0.00781999
576	0.0160295
577	0.014336
580	0.0175487
582	0.145591
585	0.211612
588	0.0208358
589	0.0104878
590	0.0103071
591	0.0140598
592	0.0270964
594	0.0158536
595	0.0155425
597	0.0205944
600	0.014386
602	0.0182124
603	0.0193141
604	0.0138195
605	0.0177789
606	0.0125152
608	0.0085426
609	0.0146894
610	0.00764931
613	0.0298759
616	0.0140412
617	0.00939727
618	0.0184248
619	0.0220159
620	0.0133905
621	0.0162676
623	0.0141557
627	0.0532893
631	0.0165265
632	0.0148183
633	0.0123717
644	0.00916558
646	0.00789951
651	0.0292325
652	0.0649498
653	0.0724964
655	0.100339
656	0.0210624
659	0.0178085
660	0.00994839
663	0.0180708
666	0.0660301
670	0.0244689
673	0.14442
680	0.0131661
682	0.0991517
685	0.154497
687	0.0312881
688	0.0703307
690	0.00998388
693	0.093115
694	0.0180977
703	0.114439
709	0.0185426
715	0.00973891
716	0.0334947
717	0.0425023
724	0.0167082
726	0.0125188
729	0.0248689
733	0.0241075
734	0.0152915
735	0.0285277
736	0.0147975
738	0.0271643
742	0.0140582
746	0.0705653
747	0.115378
762	0.00793049
764	0.068957
768	0.0184421
770	0.0713864
771	0.0241711
785	0.051827
789	0.029584
793	0.013201
799	0.0102284
803	0.0164224
806	0.00845142
811	0.00803729
813	0.00799545
815	0.0371542
823	0.0629697
824	0.0184778
830	0.0134358
832	0.00715737
842	0.0165514
844	0.0126475
846	0.0183406
854	0.0151339
857	0.0110468
858	0.0265647
860	0.0090702
864	0.0679147
