#
# Slashdot0902.txt in-degree distribution. G(82168, 948464). 7829 (0.0953) nodes with in-deg > avg deg (23.1), 3831 (0.0466) with >2*avg.deg (Wed Apr 29 17:22:35 2020)
#
# In-degree	Count
1	1876
2	29977
3	12249
4	6904
5	4506
6	3225
7	2467
8	2015
9	1633
10	1305
11	1211
12	981
13	906
14	779
15	687
16	635
17	559
18	509
19	462
20	393
21	411
22	357
23	292
24	280
25	292
26	275
27	253
28	231
29	236
30	172
31	208
32	196
33	195
34	165
35	144
36	148
37	150
38	140
39	124
40	131
41	120
42	100
43	110
44	88
45	131
46	109
47	109
48	93
49	99
50	75
51	81
52	82
53	61
54	80
55	75
56	65
57	54
58	62
59	55
60	56
61	47
62	36
63	39
64	46
65	42
66	52
67	55
68	39
69	43
70	39
71	51
72	35
73	36
74	33
75	39
76	42
77	33
78	34
79	33
80	27
81	34
82	37
83	30
84	30
85	34
86	24
87	24
88	27
89	27
90	17
91	23
92	23
93	22
94	22
95	30
96	24
97	24
98	20
99	17
100	23
101	20
102	17
103	21
104	18
105	14
106	16
107	10
108	15
109	18
110	16
111	18
112	19
113	16
114	4
115	21
116	10
117	12
118	14
119	19
120	19
121	13
122	20
123	14
124	9
125	8
126	15
127	11
128	12
129	11
130	13
131	11
132	9
133	12
134	13
135	8
136	13
137	8
138	7
139	14
140	9
141	7
142	11
143	9
144	6
145	7
146	10
147	9
148	14
149	10
150	12
151	13
152	6
153	4
154	12
155	13
156	8
157	5
158	6
159	8
160	6
161	6
162	4
163	5
164	9
165	4
166	11
167	2
168	5
169	9
170	6
171	9
172	2
173	7
174	7
175	4
176	5
177	8
178	10
179	8
180	4
181	7
182	7
183	5
184	3
185	7
186	1
187	6
188	10
189	8
190	8
191	5
192	8
193	6
194	9
195	8
196	6
197	6
198	11
199	10
200	2
201	9
202	10
203	4
204	15
205	8
206	3
207	17
208	5
209	7
210	3
211	11
212	4
213	6
214	5
215	4
216	4
217	6
218	3
219	3
220	4
221	3
222	3
223	4
224	2
225	3
226	3
227	4
229	1
230	4
231	3
232	3
233	3
234	3
235	2
236	3
237	1
238	6
239	3
240	3
241	5
242	2
243	1
244	3
246	2
247	3
248	6
250	1
251	2
252	5
254	2
255	5
256	3
258	4
259	1
260	4
261	2
262	4
264	1
265	4
266	2
267	1
268	1
269	3
270	2
271	2
272	2
273	3
274	1
275	2
279	3
280	2
281	4
282	1
283	1
284	3
285	1
286	1
287	1
288	4
290	1
291	1
292	1
293	2
294	1
295	3
296	3
297	1
298	4
299	6
301	2
302	1
303	1
305	2
306	3
307	1
308	1
309	1
310	2
311	1
312	1
313	2
314	2
315	1
316	2
317	2
321	1
322	1
324	3
325	2
326	1
327	1
328	2
329	1
331	1
333	1
334	1
335	1
336	2
337	2
339	1
340	1
341	1
347	2
348	2
349	2
350	1
352	4
355	2
356	1
358	1
360	1
361	1
362	1
363	1
367	2
368	3
372	1
374	1
375	3
378	1
379	1
381	1
385	1
389	1
390	1
392	2
394	1
398	1
399	1
400	1
406	1
408	1
409	1
410	1
411	1
417	1
418	1
420	1
428	2
430	1
434	1
436	2
439	1
441	2
443	2
444	1
445	1
446	2
449	1
451	2
453	1
454	1
463	1
473	2
482	1
484	1
496	1
497	1
498	1
499	1
500	1
512	1
513	1
530	2
536	1
537	1
541	1
560	1
561	1
572	1
573	1
581	1
582	2
587	1
592	1
596	1
597	1
612	1
621	1
632	1
636	1
641	1
648	1
660	1
663	1
669	1
677	1
681	1
686	1
693	1
706	1
738	1
790	1
800	1
848	1
902	1
960	1
963	1
973	1
995	1
1025	1
1050	1
1102	1
1111	1
1271	1
1661	1
1729	1
1862	1
2292	1
2355	1
2553	1
