#
# Slashdot0902.txt out-degree distribution. G(82168, 948464). 7896 (0.0961) nodes with out-deg > avg deg (23.1), 3970 (0.0483) with >2*avg.deg (Wed Apr 29 17:22:35 2020)
#
# Out-degree	Count
0	3727
1	6559
2	24716
3	11280
4	6138
5	4074
6	2978
7	2175
8	1865
9	1583
10	1280
11	1092
12	960
13	866
14	722
15	721
16	592
17	515
18	510
19	453
20	410
21	403
22	349
23	304
24	284
25	275
26	254
27	234
28	245
29	240
30	206
31	177
32	192
33	176
34	161
35	157
36	152
37	156
38	118
39	127
40	128
41	106
42	119
43	106
44	110
45	107
46	96
47	86
48	87
49	86
50	78
51	75
52	78
53	77
54	51
55	64
56	63
57	72
58	64
59	62
60	67
61	46
62	46
63	55
64	50
65	45
66	47
67	38
68	38
69	43
70	40
71	36
72	49
73	41
74	41
75	44
76	30
77	27
78	27
79	32
80	31
81	19
82	28
83	25
84	43
85	26
86	15
87	31
88	30
89	20
90	37
91	28
92	20
93	19
94	18
95	15
96	25
97	26
98	16
99	20
100	24
101	20
102	14
103	16
104	15
105	21
106	20
107	16
108	18
109	17
110	21
111	20
112	16
113	7
114	13
115	12
116	20
117	19
118	11
119	9
120	10
121	14
122	10
123	12
124	19
125	11
126	15
127	12
128	17
129	19
130	15
131	9
132	12
133	13
134	7
135	11
136	9
137	16
138	6
139	14
140	15
141	6
142	10
143	8
144	8
145	17
146	9
147	7
148	8
149	10
150	10
151	5
152	11
153	5
154	11
155	7
156	8
157	4
158	7
159	8
160	13
161	10
162	9
163	6
164	13
165	6
166	8
167	9
168	7
169	12
170	9
171	3
172	9
173	11
174	4
175	11
176	2
177	4
178	3
179	3
180	7
181	6
182	10
183	4
184	4
185	2
186	10
187	7
188	11
189	9
190	6
191	4
192	10
193	9
194	8
195	7
196	7
197	7
198	7
199	7
200	9
201	13
202	26
203	37
204	25
205	35
206	28
207	17
208	13
209	13
210	8
211	11
212	9
213	8
214	4
215	14
216	4
217	1
218	5
219	11
221	7
222	4
223	6
224	9
225	6
226	2
227	4
228	3
230	3
231	5
232	3
233	4
234	7
235	4
236	2
237	2
238	2
239	4
240	3
241	3
242	2
243	5
244	4
245	7
246	2
247	2
248	1
249	1
250	1
251	4
252	3
254	2
255	2
256	1
257	1
258	2
259	1
261	2
262	3
263	5
264	4
266	2
267	1
268	3
270	4
271	2
272	2
273	3
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	3
283	3
284	2
287	2
288	2
289	2
291	1
292	1
293	1
295	1
297	1
298	1
299	1
300	2
301	2
303	1
304	2
305	1
309	2
310	4
311	2
312	1
313	1
316	3
318	1
320	2
324	2
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	3
334	1
335	4
337	4
339	2
341	2
343	1
344	1
346	2
348	1
349	1
350	1
351	2
354	1
357	1
358	1
359	1
363	2
368	3
370	2
371	2
372	1
373	1
375	1
376	1
377	1
381	1
383	2
387	1
389	1
390	1
391	1
395	3
396	2
400	1
402	1
404	1
405	3
408	1
409	1
410	1
412	1
415	2
416	1
417	1
418	1
422	1
424	2
425	2
426	1
428	1
429	1
432	1
433	1
436	1
439	1
440	1
442	1
443	1
444	2
445	1
446	1
451	1
452	1
454	1
466	1
475	1
476	1
494	2
497	1
502	1
508	2
520	1
530	1
535	1
537	1
540	1
541	1
543	1
550	1
570	1
571	1
591	1
595	1
600	1
602	1
606	1
627	1
635	1
640	1
663	1
666	1
686	2
692	1
695	1
743	1
826	1
839	1
870	1
931	1
1217	1
1443	2
1701	1
1851	1
2209	1
2248	1
2511	1
